time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:37:09.490134,0,67809,0,GPS1_FRAME,42.33892,-71.08443666666666,8.0,1.1,328287.39264466055,4689511.436169436,185009.0,19,T
2023/02/06/07:37:10.489168,0,67810,0,GPS1_FRAME,42.33892,-71.08443666666666,8.0,1.0,328287.39264466055,4689511.436169436,185010.0,19,T
2023/02/06/07:37:11.489913,0,67811,0,GPS1_FRAME,42.33891333333333,-71.08443833333334,7.5,1.0,328287.2371946104,4689510.699252702,185011.0,19,T
2023/02/06/07:37:12.491492,0,67812,0,GPS1_FRAME,42.33891333333333,-71.08444,7.1,1.0,328287.0998915037,4689510.702618491,185012.0,19,T
2023/02/06/07:37:13.495910,0,67813,0,GPS1_FRAME,42.33891666666667,-71.08444333333334,7.6,0.9,328286.83435879496,4689511.079491336,185013.0,19,T
2023/02/06/07:37:14.492720,0,67814,0,GPS1_FRAME,42.338921666666664,-71.08445,7.6,1.0,328286.2987566965,4689511.648166428,185014.0,19,T
2023/02/06/07:37:15.490862,0,67815,0,GPS1_FRAME,42.338925,-71.08445833333333,7.6,1.0,328285.62131482887,4689512.035136754,185015.0,19,T
2023/02/06/07:37:16.490986,0,67816,0,GPS1_FRAME,42.33893,-71.08446833333333,7.6,1.0,328284.8111067616,4689512.610543612,185016.0,19,T
2023/02/06/07:37:17.493547,0,67817,0,GPS1_FRAME,42.338935,-71.08447666666666,7.6,1.0,328284.1382018899,4689513.182584718,185017.0,19,T
2023/02/06/07:37:18.492760,0,67818,0,GPS1_FRAME,42.33894166666666,-71.084485,7.5,1.0,328283.46983396716,4689513.9396965215,185018.0,19,T
2023/02/06/07:37:19.493154,0,67819,0,GPS1_FRAME,42.338946666666665,-71.08449333333333,7.5,1.0,328282.7969293338,4689514.511737764,185019.0,19,T
2023/02/06/07:37:20.489991,0,67820,0,GPS1_FRAME,42.33895166666667,-71.08450166666667,7.5,1.0,328282.1240248062,4689515.083779074,185020.0,19,T
2023/02/06/07:37:21.491204,0,67821,0,GPS1_FRAME,42.33895666666667,-71.08450833333333,7.5,1.0,328281.58842340345,4689515.652454551,185021.0,19,T
2023/02/06/07:37:22.489893,0,67822,0,GPS1_FRAME,42.33896166666667,-71.08451666666667,7.4,1.0,328280.9155190869,4689516.224495985,185022.0,19,T
2023/02/06/07:37:23.490091,0,67823,0,GPS1_FRAME,42.338966666666664,-71.08452333333334,7.5,1.0,328280.37991786934,4689516.793171559,185023.0,19,T
2023/02/06/07:37:24.493977,0,67824,0,GPS1_FRAME,42.338971666666666,-71.08453166666666,7.5,1.0,328279.70701376395,4689517.365213117,185024.0,19,T
2023/02/06/07:37:25.493367,0,67825,0,GPS1_FRAME,42.33897666666667,-71.08454,7.6,1.0,328279.03410976415,4689517.937254741,185025.0,19,T
2023/02/06/07:37:26.492203,0,67826,0,GPS1_FRAME,42.33898166666667,-71.08454833333333,7.7,1.0,328278.36120587855,4689518.509296435,185026.0,19,T
2023/02/06/07:37:27.492292,0,67827,0,GPS1_FRAME,42.33898833333333,-71.084555,7.8,1.0,328277.8301420463,4689519.26304285,185027.0,19,T
2023/02/06/07:37:28.492777,0,67828,0,GPS1_FRAME,42.338993333333335,-71.08456333333334,7.9,1.0,328277.15723838407,4689519.835084668,185028.0,19,T
2023/02/06/07:37:29.493244,0,67829,0,GPS1_FRAME,42.338998333333336,-71.08457,8.0,1.0,328276.62163775647,4689520.4037605515,185029.0,19,T
2023/02/06/07:37:30.491817,0,67830,0,GPS1_FRAME,42.33900333333333,-71.08457833333334,8.1,1.0,328275.9487343052,4689520.9758024905,185030.0,19,T
