time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/08:21:44.435029,0,69758,0,GPS1_FRAME,42.33880833333333,-71.088425,19.9,0.9,327958.52176575013,4689507.098470526,192238.0,19,T
2023/02/06/08:21:45.435840,0,69759,0,GPS1_FRAME,42.33880833333333,-71.088425,19.9,0.9,327958.52176575013,4689507.098470526,192239.0,19,T
2023/02/06/08:21:46.436096,0,69760,0,GPS1_FRAME,42.338813333333334,-71.08842833333334,20.2,0.9,327958.2607952853,4689507.660427004,192240.0,19,T
2023/02/06/08:21:47.466692,0,69761,0,GPS1_FRAME,42.338813333333334,-71.08842833333334,20.2,1.0,327958.2607952853,4689507.660427004,192241.0,19,T
2023/02/06/08:21:48.467616,0,69762,0,GPS1_FRAME,42.338818333333336,-71.08843,20.1,1.0,327958.1371282097,4689508.219011254,192242.0,19,T
2023/02/06/08:21:49.437316,0,69763,0,GPS1_FRAME,42.338825,-71.088435,20.3,0.9,327957.743399929,4689508.969410666,192243.0,19,T
2023/02/06/08:21:50.436328,0,69764,0,GPS1_FRAME,42.338831666666664,-71.08844,20.7,0.9,327957.34967173776,4689509.719810103,192244.0,19,T
2023/02/06/08:21:51.470929,0,69765,0,GPS1_FRAME,42.33884333333334,-71.08844666666667,21.7,0.9,327956.8322767301,4689511.028793846,192245.0,19,T
2023/02/06/08:21:52.435348,0,69766,0,GPS1_FRAME,42.33884833333333,-71.088455,22.4,0.9,327956.15939673065,4689511.600867222,192246.0,19,T
2023/02/06/08:21:53.435825,0,69767,0,GPS1_FRAME,42.33885166666666,-71.08846166666666,23.0,0.9,327955.619274608,4689511.984497704,192247.0,19,T
2023/02/06/08:21:54.437049,0,69768,0,GPS1_FRAME,42.33885,-71.088465,23.5,0.9,327955.3401225554,4689511.806171618,192248.0,19,T
2023/02/06/08:21:55.435503,0,69769,0,GPS1_FRAME,42.33885166666666,-71.08846833333334,23.7,0.9,327955.07006151567,4689511.997986886,192249.0,19,T
2023/02/06/08:21:56.469703,0,69770,0,GPS1_FRAME,42.33885166666666,-71.08847,24.1,0.9,327954.93275824364,4689512.001359187,192250.0,19,T
2023/02/06/08:21:57.435744,0,69771,0,GPS1_FRAME,42.33885333333333,-71.088475,24.1,0.9,327954.5253939517,4689512.196546783,192251.0,19,T
2023/02/06/08:21:58.436157,0,69772,0,GPS1_FRAME,42.338856666666665,-71.08847666666666,24.1,0.9,327954.39718175004,4689512.5700604385,192252.0,19,T
2023/02/06/08:21:59.436624,0,69773,0,GPS1_FRAME,42.338863333333336,-71.08848,24.1,0.9,327954.1407573836,4689513.317087765,192253.0,19,T
2023/02/06/08:22:00.435356,0,69774,0,GPS1_FRAME,42.33886666666667,-71.08848333333333,24.0,0.9,327953.87524198554,4689513.693973755,192254.0,19,T
2023/02/06/08:22:01.435696,0,69775,0,GPS1_FRAME,42.33886833333333,-71.08848666666667,24.0,0.9,327953.60518105974,4689513.885789083,192255.0,19,T
2023/02/06/08:22:02.435372,0,69776,0,GPS1_FRAME,42.33886833333333,-71.08848833333333,23.9,0.9,327953.46787782386,4689513.8891614145,192256.0,19,T
2023/02/06/08:22:03.435435,0,69777,0,GPS1_FRAME,42.33887,-71.08848833333333,24.1,0.9,327953.4724233828,4689514.074232089,192257.0,19,T
2023/02/06/08:22:04.434898,0,69778,0,GPS1_FRAME,42.33887333333333,-71.08849,24.2,0.9,327953.3442112742,4689514.447745769,192258.0,19,T
2023/02/06/08:22:05.436078,0,69779,0,GPS1_FRAME,42.338878333333334,-71.08849166666667,23.8,0.9,327953.22054474766,4689515.006330128,192259.0,19,T
2023/02/06/08:22:06.436594,0,69780,0,GPS1_FRAME,42.338885,-71.08849333333333,23.7,0.9,327953.10142381745,4689515.749985162,192300.0,19,T
2023/02/06/08:22:07.435018,0,69781,0,GPS1_FRAME,42.33889166666667,-71.08849833333333,23.6,0.9,327952.70769654633,4689516.500384892,192301.0,19,T
2023/02/06/08:22:08.435262,0,69782,0,GPS1_FRAME,42.33889833333333,-71.08850166666667,23.4,0.9,327952.45127253525,4689517.247412293,192302.0,19,T
