time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:25:16.067456,0,67084,0,GPS1_FRAME,42.33907833333333,-71.08467333333333,8.1,1.0,328268.32664519007,4689529.495848307,183804.0,19,T
2023/02/06/07:25:17.067126,0,67085,0,GPS1_FRAME,42.33907833333333,-71.08467333333333,8.1,1.0,328268.32664519007,4689529.495848307,183805.0,19,T
2023/02/06/07:25:18.067178,0,67086,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183806.0,19,T
2023/02/06/07:25:19.066681,0,67087,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183807.0,19,T
2023/02/06/07:25:20.066061,0,67088,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183808.0,19,T
2023/02/06/07:25:21.067025,0,67089,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183809.0,19,T
2023/02/06/07:25:22.067006,0,67090,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183810.0,19,T
2023/02/06/07:25:23.067034,0,67091,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183811.0,19,T
2023/02/06/07:25:24.067107,0,67092,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183812.0,19,T
2023/02/06/07:25:25.069443,0,67093,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183813.0,19,T
2023/02/06/07:25:26.067356,0,67094,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183814.0,19,T
2023/02/06/07:25:27.066243,0,67095,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183815.0,19,T
2023/02/06/07:25:28.066044,0,67096,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183816.0,19,T
2023/02/06/07:25:29.067719,0,67097,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183817.0,19,T
2023/02/06/07:25:30.067056,0,67098,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183818.0,19,T
2023/02/06/07:25:31.067049,0,67099,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183819.0,19,T
2023/02/06/07:25:32.066599,0,67100,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183820.0,19,T
2023/02/06/07:25:33.066967,0,67101,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183821.0,19,T
2023/02/06/07:25:34.067261,0,67102,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183822.0,19,T
2023/02/06/07:25:35.066154,0,67103,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183823.0,19,T
2023/02/06/07:25:36.066583,0,67104,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183824.0,19,T
2023/02/06/07:25:37.067673,0,67105,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183825.0,19,T
2023/02/06/07:25:38.067491,0,67106,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183826.0,19,T
2023/02/06/07:25:39.067170,0,67107,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183827.0,19,T
2023/02/06/07:25:40.065925,0,67108,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183828.0,19,T
2023/02/06/07:25:41.067512,0,67109,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183829.0,19,T
2023/02/06/07:25:42.067198,0,67110,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183830.0,19,T
2023/02/06/07:25:43.089121,0,67111,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183831.0,19,T
2023/02/06/07:25:44.088188,0,67112,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183832.0,19,T
2023/02/06/07:25:45.089627,0,67113,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183833.0,19,T
2023/02/06/07:25:46.089045,0,67114,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183834.0,19,T
2023/02/06/07:25:47.088595,0,67115,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183835.0,19,T
2023/02/06/07:25:48.065531,0,67116,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183836.0,19,T
2023/02/06/07:25:49.068342,0,67117,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183837.0,19,T
2023/02/06/07:25:50.067160,0,67118,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183838.0,19,T
2023/02/06/07:25:51.065665,0,67119,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183839.0,19,T
2023/02/06/07:25:52.065945,0,67120,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183840.0,19,T
2023/02/06/07:25:53.066686,0,67121,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183841.0,19,T
2023/02/06/07:25:54.066892,0,67122,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183842.0,19,T
2023/02/06/07:25:55.067264,0,67123,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183843.0,19,T
2023/02/06/07:25:56.065771,0,67124,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183844.0,19,T
2023/02/06/07:25:57.066933,0,67125,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183845.0,19,T
2023/02/06/07:25:58.066870,0,67126,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183846.0,19,T
2023/02/06/07:25:59.065491,0,67127,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183847.0,19,T
2023/02/06/07:26:00.065968,0,67128,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183848.0,19,T
2023/02/06/07:26:01.068405,0,67129,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183849.0,19,T
2023/02/06/07:26:02.066828,0,67130,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183850.0,19,T
2023/02/06/07:26:03.065915,0,67131,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183851.0,19,T
2023/02/06/07:26:04.065841,0,67132,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183852.0,19,T
2023/02/06/07:26:05.066697,0,67133,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183853.0,19,T
