time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.fix_quality,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/20/13:57:38.084835,47,68258,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6899999976158142,328169.0259159168,4689411.377569261,18:57:38,19,T
2023/02/20/13:57:39.111368,48,68259,0,GPS1_Frame,42.33799333333333,-71.08584266666666,4,16.200000762939453,0.7099999785423279,328169.03964642866,4689411.377232457,18:57:39,19,T
2023/02/20/13:57:40.083131,49,68260,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6700000166893005,328169.0259159168,4689411.377569261,18:57:40,19,T
2023/02/20/13:57:41.111821,50,68261,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6899999976158142,328169.0259159168,4689411.377569261,18:57:41,19,T
2023/02/20/13:57:42.094053,51,68262,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6499999761581421,328169.0259159168,4689411.377569261,18:57:42,19,T
2023/02/20/13:57:43.113086,52,68263,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6899999976158142,328169.0259159168,4689411.377569261,18:57:43,19,T
2023/02/20/13:57:44.085721,53,68264,0,GPS1_Frame,42.33799333333333,-71.08584266666666,4,16.299999237060547,0.75,328169.03964642866,4689411.377232457,18:57:44,19,T
2023/02/20/13:57:45.112649,54,68265,0,GPS1_Frame,42.337993166666664,-71.08584283333333,4,16.299999237060547,0.6499999761581421,328169.025461945,4689411.3590621995,18:57:45,19,T
2023/02/20/13:57:46.076588,55,68266,0,GPS1_Frame,42.337993166666664,-71.08584266666666,4,16.200000762939453,0.6499999761581421,328169.0391924568,4689411.358725395,18:57:46,19,T
2023/02/20/13:57:47.113044,56,68267,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.7699999809265137,328169.0259159168,4689411.377569261,18:57:47,19,T
2023/02/20/13:57:48.093102,57,68268,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6499999761581421,328169.0259159168,4689411.377569261,18:57:48,19,T
2023/02/20/13:57:49.110120,58,68269,0,GPS1_Frame,42.337993166666664,-71.08584283333333,4,16.200000762939453,0.6800000071525574,328169.025461945,4689411.3590621995,18:57:49,19,T
2023/02/20/13:57:50.089796,59,68270,0,GPS1_Frame,42.33799333333333,-71.08584283333333,4,16.200000762939453,0.6899999976158142,328169.0259159168,4689411.377569261,18:57:50,19,T
2023/02/20/13:57:51.112399,60,68271,0,GPS1_Frame,42.337993166666664,-71.08584283333333,4,16.200000762939453,0.699999988079071,328169.025461945,4689411.3590621995,18:57:51,19,T
