time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.fix_quality,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/20/14:33:20.179970,3,70401,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:21,19,T
2023/02/20/14:33:21.166309,4,70402,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:22,19,T
2023/02/20/14:33:22.192807,5,70403,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:23,19,T
2023/02/20/14:33:23.184905,6,70404,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:24,19,T
2023/02/20/14:33:24.183897,7,70405,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:25,19,T
2023/02/20/14:33:25.178717,8,70406,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:26,19,T
2023/02/20/14:33:26.182909,9,70407,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:27,19,T
2023/02/20/14:33:27.160444,10,70408,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:28,19,T
2023/02/20/14:33:28.189811,11,70409,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:29,19,T
2023/02/20/14:33:29.179190,12,70410,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:30,19,T
2023/02/20/14:33:30.180228,13,70411,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:31,19,T
2023/02/20/14:33:31.174944,14,70412,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:32,19,T
2023/02/20/14:33:32.193223,15,70413,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:33,19,T
2023/02/20/14:33:33.177517,16,70414,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:33:34,19,T
2023/02/20/14:33:34.187608,17,70415,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:35,19,T
2023/02/20/14:33:35.175824,18,70416,0,GPS1_Frame,42.338196333333336,-71.0864265,4,38.5,0.699999988079071,328121.49475526053,4689435.098827181,19:33:36,19,T
2023/02/20/14:33:36.172202,19,70417,0,GPS1_Frame,42.338196333333336,-71.08642633333334,4,38.5,0.699999988079071,328121.50848572864,4689435.098490281,19:33:37,19,T
2023/02/20/14:33:37.164625,20,70418,0,GPS1_Frame,42.3381965,-71.08642633333334,4,38.5,0.699999988079071,328121.50893982936,4689435.116997345,19:33:38,19,T
2023/02/20/14:33:38.180269,21,70419,0,GPS1_Frame,42.338196333333336,-71.08642633333334,4,38.5,0.699999988079071,328121.50848572864,4689435.098490281,19:33:39,19,T
2023/02/20/14:33:39.171127,22,70420,0,GPS1_Frame,42.33819616666667,-71.08642666666667,4,38.5,0.699999988079071,328121.48057068954,4689435.080657017,19:33:40,19,T
2023/02/20/14:33:40.181414,23,70421,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:33:41,19,T
2023/02/20/14:33:41.170994,24,70422,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:42,19,T
2023/02/20/14:33:42.179180,25,70423,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:43,19,T
2023/02/20/14:33:43.174786,26,70424,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:44,19,T
2023/02/20/14:33:44.185442,27,70425,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:45,19,T
2023/02/20/14:33:45.157171,28,70426,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:46,19,T
2023/02/20/14:33:46.179161,29,70427,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:47,19,T
2023/02/20/14:33:47.174699,30,70428,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:48,19,T
2023/02/20/14:33:48.184989,31,70429,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:49,19,T
2023/02/20/14:33:49.172950,32,70430,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:50,19,T
2023/02/20/14:33:50.186351,33,70431,0,GPS1_Frame,42.338196,-71.08642666666667,4,38.5,0.699999988079071,328121.48011658865,4689435.062149955,19:33:51,19,T
2023/02/20/14:33:51.167174,34,70432,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:52,19,T
2023/02/20/14:33:52.177186,35,70433,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:53,19,T
2023/02/20/14:33:53.172619,36,70434,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:54,19,T
2023/02/20/14:33:54.170949,37,70435,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:55,19,T
2023/02/20/14:33:55.167961,38,70436,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:56,19,T
2023/02/20/14:33:56.187204,39,70437,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:33:57,19,T
2023/02/20/14:33:57.171009,40,70438,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:58,19,T
2023/02/20/14:33:58.187815,41,70439,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:33:59,19,T
2023/02/20/14:33:59.168210,42,70440,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:0,19,T
2023/02/20/14:34:00.174365,43,70441,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:1,19,T
2023/02/20/14:34:01.173033,44,70442,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:2,19,T
2023/02/20/14:34:02.178185,45,70443,0,GPS1_Frame,42.338196,-71.08642666666667,4,38.5,0.699999988079071,328121.48011658865,4689435.062149955,19:34:3,19,T
2023/02/20/14:34:03.160454,46,70444,0,GPS1_Frame,42.338196,-71.08642666666667,4,38.5,0.699999988079071,328121.48011658865,4689435.062149955,19:34:4,19,T
2023/02/20/14:34:04.193893,47,70445,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:34:5,19,T
2023/02/20/14:34:05.168470,48,70446,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:6,19,T
2023/02/20/14:34:06.175021,49,70447,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:7,19,T
2023/02/20/14:34:07.166088,50,70448,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:8,19,T
2023/02/20/14:34:08.180439,51,70449,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:9,19,T
2023/02/20/14:34:09.164618,52,70450,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:10,19,T
2023/02/20/14:34:10.179722,53,70451,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:11,19,T
2023/02/20/14:34:11.166078,54,70452,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:12,19,T
2023/02/20/14:34:12.171393,55,70453,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:13,19,T
2023/02/20/14:34:13.165475,56,70454,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:34:14,19,T
2023/02/20/14:34:14.184210,57,70455,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:15,19,T
2023/02/20/14:34:15.162980,58,70456,0,GPS1_Frame,42.33819616666667,-71.08642666666667,4,38.5,0.699999988079071,328121.48057068954,4689435.080657017,19:34:16,19,T
2023/02/20/14:34:16.184137,59,70457,0,GPS1_Frame,42.33819616666667,-71.08642666666667,4,38.5,0.699999988079071,328121.48057068954,4689435.080657017,19:34:17,19,T
2023/02/20/14:34:17.172326,60,70458,0,GPS1_Frame,42.338196,-71.0864265,4,38.5,0.699999988079071,328121.49384705897,4689435.061813055,19:34:18,19,T
2023/02/20/14:34:18.175452,61,70459,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:19,19,T
2023/02/20/14:34:19.165230,62,70460,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:20,19,T
2023/02/20/14:34:20.185245,63,70461,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:21,19,T
2023/02/20/14:34:21.154676,64,70462,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:22,19,T
2023/02/20/14:34:22.178735,65,70463,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:23,19,T
2023/02/20/14:34:23.165554,66,70464,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:24,19,T
2023/02/20/14:34:24.183662,67,70465,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:25,19,T
2023/02/20/14:34:25.172076,68,70466,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:26,19,T
2023/02/20/14:34:26.181483,69,70467,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:27,19,T
2023/02/20/14:34:27.171182,70,70468,0,GPS1_Frame,42.33819616666667,-71.0864265,4,38.5,0.699999988079071,328121.49430115975,4689435.080320118,19:34:28,19,T
2023/02/20/14:34:28.190797,71,70469,0,GPS1_Frame,42.33819616666667,-71.086426,4,38.5,0.699999988079071,328121.5354925642,4689435.079309421,19:34:29,19,T
2023/02/20/14:34:29.175566,72,70470,0,GPS1_Frame,42.33819616666667,-71.086426,4,38.5,0.699999988079071,328121.5354925642,4689435.079309421,19:34:30,19,T
2023/02/20/14:34:30.178778,73,70471,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:31,19,T
2023/02/20/14:34:31.173145,74,70472,0,GPS1_Frame,42.33819616666667,-71.08642616666667,4,38.5,0.699999988079071,328121.52176209603,4689435.079646319,19:34:32,19,T
2023/02/20/14:34:32.187795,75,70473,0,GPS1_Frame,42.33819616666667,-71.08642616666667,4,38.5,0.699999988079071,328121.52176209603,4689435.079646319,19:34:33,19,T
2023/02/20/14:34:33.172251,76,70474,0,GPS1_Frame,42.33819616666667,-71.08642616666667,4,38.5,0.699999988079071,328121.52176209603,4689435.079646319,19:34:34,19,T
2023/02/20/14:34:34.193186,77,70475,0,GPS1_Frame,42.33819616666667,-71.08642616666667,4,38.5,0.699999988079071,328121.52176209603,4689435.079646319,19:34:35,19,T
2023/02/20/14:34:35.169831,78,70476,0,GPS1_Frame,42.33819616666667,-71.086426,4,38.5,0.699999988079071,328121.5354925642,4689435.079309421,19:34:36,19,T
2023/02/20/14:34:36.184008,79,70477,0,GPS1_Frame,42.33819616666667,-71.08642583333334,4,38.5,0.699999988079071,328121.5492230344,4689435.07897252,19:34:37,19,T
2023/02/20/14:34:37.175097,80,70478,0,GPS1_Frame,42.33819616666667,-71.08642583333334,4,38.5,0.699999988079071,328121.5492230344,4689435.07897252,19:34:38,19,T
2023/02/20/14:34:38.188064,81,70479,0,GPS1_Frame,42.338196333333336,-71.0864255,4,38.400001525878906,0.699999988079071,328121.5771380712,4689435.096805786,19:34:39,19,T
2023/02/20/14:34:39.152874,82,70480,0,GPS1_Frame,42.338195666666664,-71.08642683333333,2,38.5,0.699999988079071,328121.4654779188,4689435.025472728,19:34:40,19,T
2023/02/20/14:34:40.174992,83,70481,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.7099999785423279,328121.50803162786,4689435.079983219,19:34:41,19,T
2023/02/20/14:34:41.154194,84,70482,0,GPS1_Frame,42.33819616666667,-71.08642633333334,2,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:42,19,T
2023/02/20/14:34:42.181228,85,70483,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:34:43,19,T
2023/02/20/14:34:43.163674,86,70484,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:44,19,T
2023/02/20/14:34:44.188315,87,70485,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:45,19,T
2023/02/20/14:34:45.172298,88,70486,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:46,19,T
2023/02/20/14:34:46.186995,89,70487,0,GPS1_Frame,42.33819616666667,-71.08642616666667,4,38.5,0.699999988079071,328121.52176209603,4689435.079646319,19:34:47,19,T
2023/02/20/14:34:47.170860,90,70488,0,GPS1_Frame,42.33819616666667,-71.08642616666667,4,38.5,0.699999988079071,328121.52176209603,4689435.079646319,19:34:48,19,T
2023/02/20/14:34:48.179368,91,70489,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.7200000286102295,328121.5075775271,4689435.061476156,19:34:49,19,T
2023/02/20/14:34:49.174651,92,70490,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.7200000286102295,328121.5075775271,4689435.061476156,19:34:50,19,T
2023/02/20/14:34:50.189417,93,70491,0,GPS1_Frame,42.338196,-71.08642633333334,4,38.5,0.699999988079071,328121.5075775271,4689435.061476156,19:34:51,19,T
2023/02/20/14:34:51.167096,94,70492,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:52,19,T
2023/02/20/14:34:52.189390,95,70493,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:53,19,T
2023/02/20/14:34:53.173591,96,70494,0,GPS1_Frame,42.33819616666667,-71.08642633333334,4,38.5,0.699999988079071,328121.50803162786,4689435.079983219,19:34:54,19,T
