time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.IMU.header.seq,.IMU.header.stamp.secs,.IMU.header.stamp.nsecs,.IMU.header.frame_id,.IMU.orientation.x,.IMU.orientation.y,.IMU.orientation.z,.IMU.orientation.w,.IMU.orientation_covariance,.IMU.angular_velocity.x,.IMU.angular_velocity.y,.IMU.angular_velocity.z,.IMU.angular_velocity_covariance,.IMU.linear_acceleration.x,.IMU.linear_acceleration.y,.IMU.linear_acceleration.z,.IMU.linear_acceleration_covariance,.MagField.header.seq,.MagField.header.stamp.secs,.MagField.header.stamp.nsecs,.MagField.header.frame_id,.MagField.magnetic_field.x,.MagField.magnetic_field.y,.MagField.magnetic_field.z,.MagField.magnetic_field_covariance,.VNYMR
2023/03/05/23:40:28.930127,0,1678077624,147241353,imu1_frame,0,0,0,,0.00428722687238,-0.014207844106253417,0.05325229736577603,0.9984708056207072,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.001167,0.004058,0.001044,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.229,0.062,-10.325,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5419,-0.0759,0.3938,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.100,-001.652,+000.404,+00.5419,-00.0759,+00.3938,-00.229,+00.062,-10.325,+00.001167,+00.004058,+00.001044*6B\r\n'"
2023/03/05/23:40:28.954850,0,1678077624,147241353,imu1_frame,0,0,0,,0.004288494140310505,-0.014234021572252216,0.05324365612510798,0.9984708881736715,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000386,-0.000388,-0.000123,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.322,-0.058,-10.271,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5408,-0.076,0.3887,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.099,-001.655,+000.404,+00.5408,-00.0760,+00.3887,-00.322,-00.058,-10.271,+00.000386,-00.000388,-00.000123*60\r\n'"
2023/03/05/23:40:28.980324,0,1678077624,147241353,imu1_frame,0,0,0,,0.004297116096248369,-0.014224731089946594,0.05326989613624035,0.9984695839054429,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000448,0.001341,-0.001148,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.307,-0.095,-10.301,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5408,-0.0759,0.3912,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.102,-001.654,+000.405,+00.5408,-00.0759,+00.3912,-00.307,-00.095,-10.301,+00.000448,+00.001341,-00.001148*6F\r\n'"
2023/03/05/23:40:29.005325,0,1678077624,147241353,imu1_frame,0,0,0,,0.004296776175598498,-0.014215980255253356,0.053278585332519605,0.9984692463790983,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000334,0.002176,-0.000894,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.286,-0.058,-10.318,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5408,-0.0748,0.3886,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.103,-001.653,+000.405,+00.5408,-00.0748,+00.3886,-00.286,-00.058,-10.318,+00.000334,+00.002176,-00.000894*64\r\n'"
2023/03/05/23:40:29.029908,0,1678077624,147241353,imu1_frame,0,0,0,,0.004288435071715804,-0.01421633293198371,0.05330460111912325,0.9984678886685009,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.000583,0.001577,0.000917,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.289,-0.09,-10.318,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5419,-0.0748,0.3925,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.106,-001.653,+000.404,+00.5419,-00.0748,+00.3925,-00.289,-00.090,-10.318,-00.000583,+00.001577,+00.000917*65\r\n'"
2023/03/05/23:40:29.055212,0,1678077624,147241353,imu1_frame,0,0,0,,0.004287722817086499,-0.014207694445148128,0.05328715053941204,0.9984689461565579,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.00041,0.002075,0.000286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.306,-0.071,-10.278,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5419,-0.0772,0.3875,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.104,-001.652,+000.404,+00.5419,-00.0772,+00.3875,-00.306,-00.071,-10.278,-00.000410,+00.002075,+00.000286*69\r\n'"
2023/03/05/23:40:29.080499,0,1678077624,147241353,imu1_frame,0,0,0,,0.0042793814989071435,-0.014208047433643468,0.05331316639045788,0.9984675881427165,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000439,0.002564,0.001212,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.322,-0.068,-10.319,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5442,-0.0736,0.3913,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.107,-001.652,+000.403,+00.5442,-00.0736,+00.3913,-00.322,-00.068,-10.319,+00.000439,+00.002564,+00.001212*6E\r\n'"
2023/03/05/23:40:29.128167,0,1678077624,147241353,imu1_frame,0,0,0,,0.00427959773035533,-0.014216835448917246,0.05329576377776278,0.9984683911854344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6e-06,0.001539,0.001142,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.306,-0.088,-10.268,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.5442,-0.0643,0.3887,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.105,-001.653,+000.403,+00.5442,-00.0643,+00.3887,-00.306,-00.088,-10.268,+00.000006,+00.001539,+00.001142*68\r\n'"
2023/03/05/23:40:29.176189,0,1678077624,147241353,imu1_frame,0,0,0,,0.00427959773035533,-0.014216835448917246,0.05329576377776278,0.9984683911854344,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.000224,0.002433,0.000503,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.296,-0.084,-10.304,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.543,-0.0748,0.39,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.105,-001.653,+000.403,+00.5430,-00.0748,+00.3900,-00.296,-00.084,-10.304,+00.000224,+00.002433,+00.000503*6C\r\n'"
2023/03/05/23:40:29.176237,0,1678077624,147241353,imu1_frame,0,0,0,,0.004288526943314577,-0.014225158533028881,0.05327848528917414,0.9984691564623607,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.0013,0.002601,0.000227,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.296,-0.074,-10.286,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,0.543,-0.0783,0.3939,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)","b'$VNYMR,+006.103,-001.654,+000.404,+00.5430,-00.0783,+00.3939,-00.296,-00.074,-10.286,-00.001300,+00.002601,+00.000227*61\r\n'"
